,,Accuracy,Fmeasure,MAE,Precision,Recall,,F_S,Accuracy,Fmeasure,MAE,Precision,Recall,,S_S,,,,,,,Y_A,Accuracy,Fmeasure,MAE,Precision,Recall,,Y_S,Accuracy,Fmeasure,MAE,Precision,Recall
E_K,0,0.333333333,0.279365079,0.888888889,0.240740741,0.333333333,,0,0.625,0.595238095,0.5,0.625,0.625,,0,0.625,0.576923077,0.375,0.535714286,0.625,,0,0.571428571,0.628571429,0.428571429,0.892857143,0.571428571,,0,0.4,0.436363636,0.8,0.48,0.4
,1,0.222222222,0.155555556,1.222222222,0.138888889,0.222222222,,1,0.125,0.055555556,0.875,0.035714286,0.125,,1,0.5,0.383333333,0.5,0.3125,0.5,,1,0.714285714,0.714285714,0.285714286,0.714285714,0.714285714,,1,0.7,0.716363636,0.3,0.746666667,0.7
,2,0.222222222,0.211640212,0.888888889,0.266666667,0.222222222,,2,0.375,0.375,0.75,0.375,0.375,,2,0.285714286,0.253968254,0.714285714,0.228571429,0.285714286,,2,0.571428571,0.571428571,0.428571429,0.828571429,0.571428571,,2,0.6,0.45,0.4,0.36,0.6
,3,0.222222222,0.26031746,1.222222222,0.314814815,0.222222222,,3,0.25,0.208333333,0.75,0.1875,0.25,,3,0.285714286,0.238095238,0.857142857,0.314285714,0.285714286,,3,1,1,0,1,1,,3,0.5,0.428571429,0.7,0.433333333,0.5
,4,0.333333333,0.222222222,1,0.166666667,0.333333333,,4,0.625,0.625,0.375,0.625,0.625,,4,0.571428571,0.62585034,0.571428571,0.785714286,0.571428571,,4,0.714285714,0.595238095,0.285714286,0.510204082,0.714285714,,4,0.666666667,0.61952862,0.333333333,0.698412698,0.666666667
,5,0.444444444,0.477777778,0.888888889,0.62962963,0.444444444,,5,0.375,0.283333333,0.625,0.229166667,0.375,,5,0.571428571,0.428571429,0.571428571,0.357142857,0.571428571,,5,0.714285714,0.702380952,0.285714286,0.828571429,0.714285714,,5,0.333333333,0.287037037,0.666666667,0.296296296,0.333333333
,6,0.444444444,0.4,0.888888889,0.425925926,0.444444444,,6,0.5,0.5625,0.75,0.75,0.5,,6,0.571428571,0.666666667,0.428571429,0.821428571,0.571428571,,6,0.428571429,0.371428571,0.571428571,0.666666667,0.428571429,,6,0.555555556,0.552188552,0.444444444,0.592592593,0.555555556
,7,0.125,0.1875,1.5,0.375,0.125,,7,0.25,0.207142857,1,0.177083333,0.25,,7,0.571428571,0.533333333,0.428571429,0.607142857,0.571428571,,7,0.833333333,0.851851852,0.166666667,0.916666667,0.833333333,,7,0.555555556,0.548148148,0.444444444,0.833333333,0.555555556
,8,0.25,0.216666667,1.625,0.28125,0.25,,8,0.428571429,0.428571429,0.571428571,0.428571429,0.428571429,,8,0.714285714,0.671428571,0.285714286,0.80952381,0.714285714,,8,0.666666667,0.8,0.333333333,1,0.666666667,,8,0.666666667,0.657407407,0.444444444,0.755555556,0.666666667
,9,0.375,0.375,1,0.395833333,0.375,,9,0.571428571,0.636734694,0.428571429,0.904761905,0.571428571,,9,0.714285714,0.69047619,0.428571429,0.761904762,0.714285714,,9,1,1,0,1,1,,9,0.555555556,0.57037037,0.555555556,0.601851852,0.555555556
