Mousedisplacement_Sum,0.128431926773587
MouseSpeed_Max,0.09864931995764485
Lclick_Std,0.09741715749353609
Lclick_Mean,0.09498639848259391
Mousedisplacement_lower50,0.09178223383495372
KeyTypeEnter_Count,0.07477746378442736
Lclick_oneclick,0.07391117468505617
KeyTypeBack_Count,0.07074261334644519
KeyType_Count,0.05865287266827792
Lclick_doubleclick,0.057883108694533544
Mclick_Std,0.04277436537303834
mistyping_Count,0.041242176827176145
KeyTypeDel_Count,0.032844984870153776
Rclick_Mean,0.018469495972672178
Rclick_Std,0.017434707235903832
MouseWheel_Mean,0.0
